Trading Facility,Commodity,Ticker,2010 CPW,2011 CPW,2011 ACRP,Unit,2010 PDW,2011 RPDW,2011 TDVT,2011 TVM,F,G,H,J,K,M,N,Q,U,V,X,Z
CBT,Chicago Wheat,W,18450.31,18188.56,5.262,bu,3.10%,3.00%,568.9,99.7,H,H,K,K,N,N,U,U,Z,Z,Z,H
KBT,Kansas City Wheat,KW,3598.646,4134.2,5.355,bu,0.62%,0.69%,131.6,99.7,H,H,K,K,N,N,U,U,Z,Z,Z,H
CBT,Corn,C,26774.03,28210.87,3.801,bu,3.25%,3.37%,1102.9,172.5,H,H,K,K,N,N,U,U,Z,Z,Z,H
CBT,Soybeans,S,7428.744,7708.699,9.736,bu,2.31%,2.36%,1692.8,378.3,H,H,K,K,N,N,X,X,X,X,F,F
ICE,Coffee,KC,16656.42,16710,1.442,lbs,0.77%,0.76%,293,203.9,H,H,K,K,N,N,U,U,Z,Z,Z,H
ICE,Sugar #11,SB,334848.9,340773.4,0.211,lbs,2.25%,2.25%,664,155.2,H,H,K,K,N,N,V,V,V,H,H,H
ICE,Cocoa,CC,3.84132,4.015306,3085.833,MT,0.38%,0.39%,111,150.3,H,H,K,K,N,N,U,U,Z,Z,Z,H
ICE,Cotton #2,CT,48373.16,51632.55,0.765,lbs,1.18%,1.24%,179.5,76.2,H,H,K,K,N,N,Z,Z,Z,Z,Z,H
CME,Lean Hogs,LH,66871.24,70271.76,0.723,lbs,1.55%,1.59%,218.7,72.2,G,J,J,M,M,N,Q,V,V,Z,Z,G
CME,Live Cattle,LC,91113.18,91458.23,0.903,lbs,2.63%,2.59%,382.1,77.6,G,J,J,M,M,Q,Q,V,V,Z,Z,G
CME,Feeder Cattle,FC,13344.92,13417.1,1.052,lbs,0.45%,0.44%,65.3,77.6,H,H,J,K,Q,Q,Q,U,V,X,F,F
NYM,Crude Oil,CL,14756.45,14314,77.265,bbl,36.45%,34.71%,16347.6,247.9,G,H,J,K,M,N,Q,U,V,X,Z,F
NYM,Heating Oil,HO,69497.32,72571.85,2.045,gal,4.54%,4.66%,2193.9,247.9,G,H,J,K,M,N,Q,U,V,X,Z,F
NYM,RBOB Gasoline,RB,68687.43,72504.78,2.054,gal,4.51%,4.67%,2201.5,247.9,G,H,J,K,M,N,Q,U,V,X,Z,F
ICE,Brent Crude Oil,LCO,5889.402,6262.977,77.42,bbl,14.58%,15.22%,7167.1,247.9,H,J,K,M,N,Q,U,V,X,Z,F,G
ICE,Gasoil,LGO,278.6346,313.6761,640.438,MT,5.70%,6.30%,2969.4,247.9,G,H,J,K,M,N,Q,U,V,X,Z,F
NYM,Natural Gas,NG,28572.22,28797.24,4.645,MMBtu,4.24%,4.20%,5035.9,631.5,G,H,J,K,M,N,Q,U,V,X,Z,F
LME,Aluminum,MAL,38.13,41.288,2081.396,MT,2.54%,2.70%,2301.8,449.3,G,H,J,K,M,N,Q,U,V,X,Z,F
LME,Copper,MCU,16.18,16.62,7015.313,MT,3.63%,3.66%,4790.1,689.1,G,H,J,K,M,N,Q,U,V,X,Z,F
LME,Lead,MPB,7.278,7.574,2129.083,MT,0.50%,0.51%,373.7,388.7,G,H,J,K,M,N,Q,U,V,X,Z,F
LME,Nickel,MNI,1.274,1.286,20388.833,MT,0.83%,0.82%,890.6,569.7,G,H,J,K,M,N,Q,U,V,X,Z,F
LME,Zinc,MZN,10.264,10.68,2136.49,MT,0.70%,0.72%,930.4,683.9,G,H,J,K,M,N,Q,U,V,X,Z,F
CMX,Gold,GC,80.11967,78.12632,1143.433,oz,2.93%,2.80%,5069.4,951.8,G,J,J,M,M,Q,Q,Z,Z,Z,Z,G
CMX,Silver,SI,632.0837,649.4452,17.644,oz,0.36%,0.36%,927.2,1357.1,H,H,K,K,N,N,U,U,Z,Z,Z,H
